danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,rank,artist,title,date,chart,trend,streams,region,genre
0.604,0.673,1,-5.979,1,0.0545,0.0268,3.32e-05,0.187,0.287,144.971,audio_features,7gkWXbAxIYuvtOpcN3p9GJ,spotify:track:7gkWXbAxIYuvtOpcN3p9GJ,https://api.spotify.com/v1/tracks/7gkWXbAxIYuvtOpcN3p9GJ,https://api.spotify.com/v1/audio-analysis/7gkWXbAxIYuvtOpcN3p9GJ,197573,4,8.0,Ariana Grande,God is a woman,2018-07-13,top200,NEW_ENTRY,1470156.0,United States,canadian contemporary r&b
0.507,0.48,5,-5.418,1,0.0266,0.449,0,0.147,0.35,86.046,audio_features,4H7WNRErSbONkM06blBoGc,spotify:track:4H7WNRErSbONkM06blBoGc,https://api.spotify.com/v1/tracks/4H7WNRErSbONkM06blBoGc,https://api.spotify.com/v1/audio-analysis/4H7WNRErSbONkM06blBoGc,204427,4,10.0,Post Malone,Stay,2018-04-27,top200,NEW_ENTRY,2703178.0,United States,rap
0.532,0.623,5,-9.208,1,0.0331,0.538,7.28e-05,0.0925,0.403,89.937,audio_features,1X2cYhcDMfDtiRIYHZCpQu,spotify:track:1X2cYhcDMfDtiRIYHZCpQu,https://api.spotify.com/v1/tracks/1X2cYhcDMfDtiRIYHZCpQu,https://api.spotify.com/v1/audio-analysis/1X2cYhcDMfDtiRIYHZCpQu,261923,4,6.0,Taylor Swift,august,2020-07-24,top200,NEW_ENTRY,2840040.0,United States,pop
0.559,0.646,7,-4.61,1,0.0272,0.116,0,0.32,0.289,95.466,audio_features,2nqio0SfWg6gh2eCtfuMa5,spotify:track:2nqio0SfWg6gh2eCtfuMa5,https://api.spotify.com/v1/tracks/2nqio0SfWg6gh2eCtfuMa5,https://api.spotify.com/v1/audio-analysis/2nqio0SfWg6gh2eCtfuMa5,294419,4,9.0,Taylor Swift,Fifteen (Taylor’s Version),2021-04-09,top200,NEW_ENTRY,1425676.0,United States,pop
0.534,0.684,11,-7.874,0,0.717,0.164,0,0.499,0.338,170.416,audio_features,5fcM0StdQxMjzulVGhFkHN,spotify:track:5fcM0StdQxMjzulVGhFkHN,https://api.spotify.com/v1/tracks/5fcM0StdQxMjzulVGhFkHN,https://api.spotify.com/v1/audio-analysis/5fcM0StdQxMjzulVGhFkHN,195720,4,5.0,Drake,8 Out Of 10,2018-06-29,top200,NEW_ENTRY,4170547.0,United States,hip hop
0.677,0.696,0,-6.181,1,0.119,0.321,0,0.42,0.464,90.03,audio_features,4iJyoBOLtHqaGxP12qzhQI,spotify:track:4iJyoBOLtHqaGxP12qzhQI,https://api.spotify.com/v1/tracks/4iJyoBOLtHqaGxP12qzhQI,https://api.spotify.com/v1/audio-analysis/4iJyoBOLtHqaGxP12qzhQI,198082,4,1.0,Justin Bieber,Peaches (feat. Daniel Caesar & Giveon),2021-03-19,top200,NEW_ENTRY,2181089.0,United States,hip hop
0.744,0.739,8,-5.35,1,0.0387,0.00459,0,0.306,0.649,104.99,audio_features,7nZmah2llfvLDiUjm0kiyz,spotify:track:7nZmah2llfvLDiUjm0kiyz,https://api.spotify.com/v1/tracks/7nZmah2llfvLDiUjm0kiyz,https://api.spotify.com/v1/audio-analysis/7nZmah2llfvLDiUjm0kiyz,189467,4,2.0,Justin Bieber,Friends (with BloodPop®),2017-08-18,top200,NEW_ENTRY,1152734.0,United States,hip hop
0.46,0.686,0,-5.948,0,0.0367,0.00146,0,0.375,0.252,148.054,audio_features,6NMtzpDQBTOfJwMzgMX0zl,spotify:track:6NMtzpDQBTOfJwMzgMX0zl,https://api.spotify.com/v1/tracks/6NMtzpDQBTOfJwMzgMX0zl,https://api.spotify.com/v1/audio-analysis/6NMtzpDQBTOfJwMzgMX0zl,145588,4,10.0,Travis Scott,SKELETONS,2018-08-03,top200,NEW_ENTRY,2154341.0,United States,hip hop
0.666,0.465,1,-8.545,1,0.26,0.0503,0,0.215,0.292,167.937,audio_features,40iJIUlhi6renaREYGeIDS,spotify:track:40iJIUlhi6renaREYGeIDS,https://api.spotify.com/v1/tracks/40iJIUlhi6renaREYGeIDS,https://api.spotify.com/v1/audio-analysis/40iJIUlhi6renaREYGeIDS,291175,4,3.0,Drake,Fair Trade (with Travis Scott),2021-09-03,top200,NEW_ENTRY,5616734.0,United States,hip hop
0.428,0.403,5,-5.914,0,0.209,0.229,0,0.22,0.133,95.387,audio_features,7KZ5MMVgBVox9ycroB2UrI,spotify:track:7KZ5MMVgBVox9ycroB2UrI,https://api.spotify.com/v1/tracks/7KZ5MMVgBVox9ycroB2UrI,https://api.spotify.com/v1/audio-analysis/7KZ5MMVgBVox9ycroB2UrI,180183,5,3.0,Travis Scott,CAROUSEL,2018-08-03,top200,NEW_ENTRY,3153435.0,United States,hip hop
0.479,0.645,5,-7.336,0,0.302,0.135,0,0.0825,0.381,155.057,audio_features,23OYT3SFtoJqhiAUqktbc1,spotify:track:23OYT3SFtoJqhiAUqktbc1,https://api.spotify.com/v1/tracks/23OYT3SFtoJqhiAUqktbc1,https://api.spotify.com/v1/audio-analysis/23OYT3SFtoJqhiAUqktbc1,168729,4,9.0,Polo G,No Return (with The Kid LAROI & Lil Durk),2021-06-11,top200,NEW_ENTRY,1095669.0,United States,rap
