danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,rank,artist,title,date,chart,trend,streams,region,genre
0.838,0.66,7,-5.61,0,0.155,0.284,0,0.0898,0.364,110.056,audio_features,08OFGhKf7mK1BGhzMtXaqo,spotify:track:08OFGhKf7mK1BGhzMtXaqo,https://api.spotify.com/v1/tracks/08OFGhKf7mK1BGhzMtXaqo,https://api.spotify.com/v1/audio-analysis/08OFGhKf7mK1BGhzMtXaqo,258880,4,7.0,"Nimo, Capo",Leyla,2019-02-15,top200,NEW_ENTRY,455936.0,Germany,hip hop
0.721,0.647,11,-7.039,1,0.189,0.0513,0.0026,0.2,0.56,164.011,audio_features,7lnQCEtaDJeMZN75siSxLc,spotify:track:7lnQCEtaDJeMZN75siSxLc,https://api.spotify.com/v1/tracks/7lnQCEtaDJeMZN75siSxLc,https://api.spotify.com/v1/audio-analysis/7lnQCEtaDJeMZN75siSxLc,177093,4,7.0,RIN,Fabergé,2019-09-27,top200,NEW_ENTRY,838736.0,Germany,rap
0.821,0.767,0,-4.934,0,0.275,0.105,0.00434,0.117,0.698,159.959,audio_features,6xwI9R3ZHT9nWtSYvffYQm,spotify:track:6xwI9R3ZHT9nWtSYvffYQm,https://api.spotify.com/v1/tracks/6xwI9R3ZHT9nWtSYvffYQm,https://api.spotify.com/v1/audio-analysis/6xwI9R3ZHT9nWtSYvffYQm,167217,4,3.0,RIN,Vintage,2019-05-24,top200,NEW_ENTRY,815384.0,Germany,rap
0.557,0.722,3,-7.832,0,0.307,0.279,1.1e-05,0.117,0.231,143.675,audio_features,1Jnl8QKwc6NBLNbYahGExG,spotify:track:1Jnl8QKwc6NBLNbYahGExG,https://api.spotify.com/v1/tracks/1Jnl8QKwc6NBLNbYahGExG,https://api.spotify.com/v1/audio-analysis/1Jnl8QKwc6NBLNbYahGExG,233671,4,2.0,"Gzuz, Bonez MC, Maxwell, Ufo361",Über Nacht,2018-05-18,top200,NEW_ENTRY,544711.0,Germany,hip hop
0.844,0.784,2,-6.218,0,0.0346,0.47,0,0.245,0.95,125.974,audio_features,6cHxkkZ3TZUKsjd13pIO1p,spotify:track:6cHxkkZ3TZUKsjd13pIO1p,https://api.spotify.com/v1/tracks/6cHxkkZ3TZUKsjd13pIO1p,https://api.spotify.com/v1/audio-analysis/6cHxkkZ3TZUKsjd13pIO1p,209032,4,6.0,RAF Camora,Puta Madre,2019-10-11,top200,NEW_ENTRY,611975.0,Germany,hip hop
0.937,0.513,10,-5.843,1,0.261,0.00155,4.39e-06,0.122,0.237,137.953,audio_features,6DYhtpfCTasCnkDJAFMqGJ,spotify:track:6DYhtpfCTasCnkDJAFMqGJ,https://api.spotify.com/v1/tracks/6DYhtpfCTasCnkDJAFMqGJ,https://api.spotify.com/v1/audio-analysis/6DYhtpfCTasCnkDJAFMqGJ,157135,4,6.0,DJ JEEZY,"Birkin Bag (feat. Luciano, reezy & KALIM)",2021-01-15,top200,NEW_ENTRY,390911.0,Germany,
0.696,0.823,4,-4.623,0,0.225,0.124,3.41e-06,0.103,0.184,139.934,audio_features,40ebjDfdkYrysmll4KF5BR,spotify:track:40ebjDfdkYrysmll4KF5BR,https://api.spotify.com/v1/tracks/40ebjDfdkYrysmll4KF5BR,https://api.spotify.com/v1/audio-analysis/40ebjDfdkYrysmll4KF5BR,192200,4,4.0,Gzuz,Wolke 7,2018-05-25,top200,NEW_ENTRY,452788.0,Germany,hip hop
0.866,0.603,4,-6.771,0,0.355,0.425,0,0.0924,0.564,96.088,audio_features,5544wzOCuqHpqNELk3zYxA,spotify:track:5544wzOCuqHpqNELk3zYxA,https://api.spotify.com/v1/tracks/5544wzOCuqHpqNELk3zYxA,https://api.spotify.com/v1/audio-analysis/5544wzOCuqHpqNELk3zYxA,283225,4,6.0,Capital Bra,Cabriolet,2019-04-12,top200,NEW_ENTRY,583630.0,Germany,hip hop
0.61,0.45,7,-11.293,1,0.415,0.073,0,0.0889,0.297,90.379,audio_features,1ODvFnDBC1c79WF5h0mepn,spotify:track:1ODvFnDBC1c79WF5h0mepn,https://api.spotify.com/v1/tracks/1ODvFnDBC1c79WF5h0mepn,https://api.spotify.com/v1/audio-analysis/1ODvFnDBC1c79WF5h0mepn,178396,4,9.0,Mert,Ausländer 2020 (feat. Alpa Gun),2020-04-17,top200,NEW_ENTRY,431559.0,Germany,pop
0.74,0.722,0,-6.283,1,0.296,0.088,0,0.113,0.483,78.582,audio_features,5AVPelpkccFdZdepfo2GhM,spotify:track:5AVPelpkccFdZdepfo2GhM,https://api.spotify.com/v1/tracks/5AVPelpkccFdZdepfo2GhM,https://api.spotify.com/v1/audio-analysis/5AVPelpkccFdZdepfo2GhM,204551,4,2.0,Kontra K,Sirenen (feat. AK Ausserkontrolle),2020-08-28,top200,NEW_ENTRY,629141.0,Germany,rap
